# mode: 0
# n_modes: 20
# index_normalization:   7.67726264e+00
# eofs_start_date: 19790101
# eofs_end_date: 20011201
# loading_pattern_input_file: fcst_surf125.118_brtmp.1958010100_2018123100.daily.anom.month.19790101_20011230.nc
# anomalies_input_file: fcst_surf125.118_brtmp.1958010100_2018123100.daily.anom.month.19790101_20011230.nc
# base_period_start: 19790101
# base_period_end: 20011230
# calendar: proleptic_gregorian
date,iod_index
1958-01-01, -4.13148849e-03
1958-02-01, -7.75242500e-02
1958-03-01, -8.07018631e-01
1958-04-01, -8.31282608e-02
1958-05-01, -4.11879520e-01
1958-06-01, -9.06738638e-01
1958-07-01, -1.45182292e+00
1958-08-01, -9.04749530e-01
1958-09-01, -1.41357344e+00
1958-10-01, -1.83997980e+00
1958-11-01, -1.63494077e+00
1958-12-01, -9.64573600e-01
1959-01-01,  1.76706955e-01
1959-02-01,  2.08099578e-02
1959-03-01, -9.06130002e-01
1959-04-01, -7.76093635e-01
1959-05-01, -9.20880068e-01
1959-06-01, -1.09920071e+00
1959-07-01, -2.19917845e+00
1959-08-01, -1.97055423e+00
1959-09-01, -1.28713197e+00
1959-10-01, -1.26575765e+00
1959-11-01, -1.23530136e+00
1959-12-01, -1.30316760e+00
1960-01-01, -1.53321213e+00
1960-02-01, -1.15528977e+00
1960-03-01, -1.02882515e+00
1960-04-01, -1.70337498e+00
1960-05-01, -1.89748983e+00
1960-06-01, -1.62370371e+00
1960-07-01, -2.14441480e+00
1960-08-01, -2.40045480e+00
1960-09-01, -2.05370058e+00
1960-10-01, -2.50420703e+00
1960-11-01, -3.18367786e+00
1960-12-01, -1.94115533e+00
1961-01-01, -5.00588249e-01
1961-02-01, -6.72969680e-01
1961-03-01, -3.48711024e-01
1961-04-01, -7.18649168e-01
1961-05-01, -1.26834354e+00
1961-06-01, -2.57754123e-01
1961-07-01,  1.75020809e-01
1961-08-01,  6.76627803e-01
1961-09-01, -1.63257788e-02
1961-10-01,  1.88299978e-01
1961-11-01, -5.16742341e-01
1961-12-01, -6.47818112e-01
1962-01-01, -1.20663976e+00
1962-02-01, -6.85955623e-01
1962-03-01, -8.63858587e-01
1962-04-01, -7.36567706e-03
1962-05-01, -8.45642182e-01
1962-06-01,  3.38874208e-02
1962-07-01,  7.22892729e-01
1962-08-01,  1.01357445e+00
1962-09-01,  7.49493547e-01
1962-10-01,  2.32010859e-01
1962-11-01,  1.35716313e-01
1962-12-01,  6.53682705e-04
1963-01-01, -4.03559067e-01
1963-02-01, -4.50840866e-01
1963-03-01, -1.44201166e+00
1963-04-01, -7.89977201e-01
1963-05-01, -8.80546122e-01
1963-06-01, -1.21105595e+00
1963-07-01, -3.72519734e-01
1963-08-01, -6.75177867e-02
1963-09-01, -4.67421994e-01
1963-10-01,  7.12102778e-01
1963-11-01,  1.08173364e+00
1963-12-01,  1.69042223e-01
1964-01-01,  2.98672221e-01
1964-02-01, -5.83821910e-02
1964-03-01,  3.72404218e-03
1964-04-01,  3.64664540e-02
1964-05-01, -1.56958313e+00
1964-06-01, -1.39378464e+00
1964-07-01, -1.94475672e+00
1964-08-01, -2.15901264e+00
1964-09-01, -2.27570893e+00
1964-10-01, -2.36314733e+00
1964-11-01, -2.32393342e+00
1964-12-01, -1.86424170e+00
1965-01-01, -1.85124806e+00
1965-02-01, -1.87406319e+00
1965-03-01, -2.10191380e+00
1965-04-01, -1.51293527e+00
1965-05-01, -2.21928550e+00
1965-06-01, -2.19795508e+00
1965-07-01, -1.52214876e+00
1965-08-01, -1.41104125e+00
1965-09-01, -1.17862867e+00
1965-10-01, -4.30085852e-01
1965-11-01, -7.67745208e-01
1965-12-01, -1.53695126e+00
1966-01-01, -1.14620108e+00
1966-02-01, -1.99168784e-01
1966-03-01, -1.46347418e+00
1966-04-01, -1.57981461e+00
1966-05-01, -1.88213333e+00
1966-06-01, -3.31190641e-01
1966-07-01, -5.67897146e-01
1966-08-01, -3.70536264e-01
1966-09-01,  2.70069503e-03
1966-10-01, -7.35888842e-01
1966-11-01, -8.47636481e-01
1966-12-01, -1.30802915e+00
1967-01-01, -1.76355153e+00
1967-02-01, -2.16555153e+00
1967-03-01, -9.06517988e-01
1967-04-01, -9.05083400e-01
1967-05-01, -7.12418890e-01
1967-06-01, -2.97623591e-01
1967-07-01, -3.35897689e-01
1967-08-01, -2.36084344e-01
1967-09-01, -5.48933094e-01
1967-10-01,  9.40357754e-03
1967-11-01, -6.00285651e-01
1967-12-01, -7.33635177e-01
1968-01-01, -1.66299784e+00
1968-02-01, -1.50076003e+00
1968-03-01, -2.17192682e+00
1968-04-01, -1.93101563e+00
1968-05-01, -1.64203633e+00
1968-06-01, -7.19804667e-01
1968-07-01, -1.41266853e+00
1968-08-01, -1.33503648e+00
1968-09-01, -1.77312199e+00
1968-10-01, -9.93509775e-01
1968-11-01, -1.45383382e+00
1968-12-01, -1.16477050e+00
1969-01-01, -7.60789700e-01
1969-02-01, -3.88673738e-01
1969-03-01,  4.44867100e-01
1969-04-01,  9.42304930e-01
1969-05-01,  5.40912491e-01
1969-06-01, -8.99315109e-01
1969-07-01, -1.03182278e+00
1969-08-01, -4.45069675e-01
1969-09-01, -2.86267850e-02
1969-10-01,  6.59425939e-01
1969-11-01,  5.13151820e-01
1969-12-01,  4.78394093e-01
1970-01-01,  1.31419123e+00
1970-02-01,  7.15306442e-01
1970-03-01,  8.08640533e-01
1970-04-01,  1.03838458e+00
1970-05-01,  7.66430056e-01
1970-06-01,  1.00763002e-01
1970-07-01, -3.71401157e-03
1970-08-01, -2.73891849e-01
1970-09-01, -8.99406612e-01
1970-10-01, -5.92410696e-01
1970-11-01, -1.19501179e+00
1970-12-01, -1.29843357e+00
1971-01-01, -1.23870593e+00
1971-02-01, -2.21162174e+00
1971-03-01, -1.94477432e+00
1971-04-01, -8.30097897e-01
1971-05-01, -1.69386775e+00
1971-06-01, -1.33588257e+00
1971-07-01, -1.52820892e+00
1971-08-01, -1.10643635e+00
1971-09-01, -1.29304684e+00
1971-10-01, -2.17599615e+00
1971-11-01, -1.09793439e+00
1971-12-01, -8.94988085e-01
1972-01-01, -2.80435474e-01
1972-02-01, -1.05854387e+00
1972-03-01, -1.35411194e+00
1972-04-01, -8.05921663e-01
1972-05-01,  1.58281389e-01
1972-06-01,  1.77252687e+00
1972-07-01,  5.90036488e-01
1972-08-01,  1.31229554e+00
1972-09-01,  1.74256628e+00
1972-10-01,  1.90604309e+00
1972-11-01,  2.07966138e+00
1972-12-01,  2.04150432e+00
1973-01-01,  1.07877278e+00
1973-02-01,  4.66931480e-01
1973-03-01,  5.96636775e-01
1973-04-01,  1.21752349e+00
1973-05-01, -2.93632908e-01
1973-06-01, -3.90496103e-01
1973-07-01, -4.79985052e-01
1973-08-01, -5.93883565e-01
1973-09-01, -4.90801036e-01
1973-10-01, -4.35326359e-01
