# mode: 0
# n_modes: 10
# loading_pattern_sst_input_file: fcst_surf125.118_brtmp.1958010100_2018123100.daily.2.5x2.5.anom.seasonal.19790101_20011230.nc
# loading_pattern_mslp_input_file: anl_surf125.002_prmsl.1958010100_2018123100.daily.2.5x2.5.anom.seasonal.19790101_20011230.nc
# loading_pattern_uwnd_input_file: anl_surf125.033_ugrd.1958010100_2018123100.daily.2.5x2.5.anom.seasonal.19790101_20011230.nc
# loading_pattern_vwnd_input_file: anl_surf125.034_vgrd.1958010100_2018123100.daily.2.5x2.5.anom.seasonal.19790101_20011230.nc
# loading_pattern_olr_input_file: jra.55.ulwrf.ntat.1958010100_2018123121.daily.2.5x2.5.anom.seasonal.19790101_20011230.nc
# seasonal_sst_anomalies_input_file: fcst_surf125.118_brtmp.1958010100_2018123100.daily.2.5x2.5.anom.seasonal.19790101_20011230.nc
# seasonal_mslp_anomalies_input_file: anl_surf125.002_prmsl.1958010100_2018123100.daily.2.5x2.5.anom.seasonal.19790101_20011230.nc
# seasonal_uwnd_anomalies_input_file: anl_surf125.033_ugrd.1958010100_2018123100.daily.2.5x2.5.anom.seasonal.19790101_20011230.nc
# seasonal_vwnd_anomalies_input_file: anl_surf125.034_vgrd.1958010100_2018123100.daily.2.5x2.5.anom.seasonal.19790101_20011230.nc
# seasonal_olr_anomalies_input_file: jra.55.ulwrf.ntat.1958010100_2018123121.daily.2.5x2.5.anom.seasonal.19790101_20011230.nc
# base_period_start: 19790101
# base_period_end: 20011230
# calendar: proleptic_gregorian
date,mei
1958-01-01,  1.18128956e+00
1958-02-01,  9.96313485e-01
1958-03-01,  7.95654261e-01
1958-04-01,  5.29136154e-01
1958-05-01,  4.96645138e-01
1958-06-01,  5.65868086e-01
1958-07-01,  1.75204500e-01
1958-08-01,  3.51771270e-02
1958-09-01, -1.67112414e-01
1958-10-01,  1.12192191e-01
1958-11-01,  2.38771985e-01
1958-12-01,  4.40258607e-01
1959-01-01,  4.17765346e-01
1959-02-01,  4.66831856e-01
1959-03-01,  2.73166368e-01
1959-04-01, -1.03250699e-01
1959-05-01, -1.09513882e-01
1959-06-01,  1.50665732e-02
1959-07-01, -1.25629931e-01
1959-08-01, -4.58656750e-03
1959-09-01,  1.05734526e-01
1959-10-01, -1.32863444e-01
1959-11-01, -2.88026501e-01
1959-12-01, -3.63200774e-01
1960-01-01, -3.07023308e-01
1960-02-01, -2.10425254e-01
1960-03-01, -2.83021773e-01
1960-04-01, -4.46487834e-01
1960-05-01, -4.76696674e-01
1960-06-01, -5.06480093e-01
1960-07-01, -5.75610804e-01
1960-08-01, -4.69420096e-01
1960-09-01, -1.79006245e-01
1960-10-01, -5.32001556e-01
1960-11-01, -6.98004496e-01
1960-12-01, -5.43320510e-01
1961-01-01, -3.47357822e-01
1961-02-01, -3.92726794e-01
1961-03-01, -2.58745305e-01
1961-04-01, -2.79941175e-01
1961-05-01, -6.18724869e-01
1961-06-01, -7.31101238e-01
1961-07-01, -4.96811459e-01
1961-08-01, -4.50883939e-01
1961-09-01, -6.07834229e-01
