# n_modes: 24
# season: DJF
# base_period_start_date: 19790101
# base_period_end_date: 20011201
# composites_input_file: jra.55.hgt.500.1958010100_2018123118.rolling_mean.window_length_10.anom.dayofyear.19790101_20011230.nc
# anomalies_input_file: jra.55.hgt.500.1958010100_2018123118.rolling_mean.window_length_10.anom.month.19790101_20011230.nc
# base_period_start: 19790101
# base_period_end: 20011230
# calendar: proleptic_gregorian
date,nhtele_index_1,nhtele_index_2,nhtele_index_3,nhtele_index_4
1958-01-01,  7.44997457e-01, -1.19781240e+00,  2.08559582e+00, -1.70778687e+00
1958-02-01,  2.11240417e+00, -1.27813754e+00,  3.78312658e-01, -1.37471430e+00
1958-03-01,  2.58350990e+00, -1.82663403e+00, -2.25262222e-01, -5.29568671e-01
1958-04-01,  6.71594658e-02, -7.88464090e-01,  4.67459160e-01,  8.20808434e-01
1958-05-01,  8.32901588e-02,  1.38587633e+00, -4.72043336e-01, -1.62218523e+00
1958-06-01,  1.27324092e+00, -1.65949259e-01, -1.68667976e+00, -3.66599989e-01
1958-07-01,  2.28225166e+00,  3.26349905e-01, -2.11808199e+00, -4.05168588e-01
1958-08-01,  2.19160101e+00, -3.57961449e-01, -1.79572261e+00, -5.65335532e-01
1958-09-01, -1.49000996e-01, -7.78484981e-01, -1.02843996e+00,  3.05337921e+00
1958-10-01, -7.21959813e-01,  4.29606204e-01, -8.52038495e-01,  1.29239858e+00
1958-11-01, -1.28583282e+00, -7.80928793e-02, -6.52002477e-02,  1.95014361e+00
1958-12-01,  9.76400877e-01, -2.62933817e-01, -6.54642391e-01, -3.88242422e-01
1959-01-01,  1.86319294e+00, -9.03174339e-01,  1.35521968e-02, -1.13819422e+00
1959-02-01, -1.35589225e+00,  7.02260609e-01, -9.50662220e-01,  2.57014744e+00
1959-03-01, -7.15198153e-01,  1.04526606e+00, -1.94853716e+00,  1.75322047e+00
1959-04-01, -3.21924861e-03,  1.21530109e+00, -1.35277675e+00, -4.64235936e-01
1959-05-01, -1.74034763e-01,  3.11440427e-02, -7.56981662e-01,  1.23804503e+00
1959-06-01, -4.03007411e-01,  4.00930038e-01,  2.29318913e-02,  1.70358413e-02
1959-07-01, -1.33208757e+00,  1.03903287e+00,  3.55072883e-01, -2.59602275e-01
1959-08-01,  2.88016324e-01,  1.99180356e-01, -1.70563842e+00,  7.84991921e-01
1959-09-01, -2.15874285e-01, -8.74875550e-01,  6.98146895e-01,  8.47815992e-01
1959-10-01,  1.85419018e-01,  1.68552828e-01, -2.82329464e+00,  2.92323743e+00
1959-11-01, -1.88945033e-01,  5.04982308e-01, -6.33192859e-01,  1.80320562e-01
1959-12-01, -2.79360549e-01,  4.84211236e-01,  2.68555963e-02, -3.84878714e-01
1960-01-01,  1.32370730e+00, -8.67280134e-01, -2.27849068e-02, -3.11093195e-01
1960-02-01,  2.38984859e+00, -1.65820894e+00,  4.01429758e-01, -9.73696716e-01
1960-03-01,  1.58719743e+00, -6.65145790e-01, -2.60991355e+00,  2.10247927e+00
1960-04-01, -1.13494539e+00,  1.03274911e+00, -8.57870413e-01,  1.26366415e+00
1960-05-01,  1.71267354e+00, -1.42693309e+00, -1.26977779e+00,  8.20960462e-01
1960-06-01, -2.55516657e-01, -1.51826282e-01, -1.48187930e-01,  6.67515268e-01
1960-07-01,  1.00767975e+00,  5.33899467e-01, -1.55786833e+00,  1.94180659e-01
1960-08-01,  2.81668948e+00, -1.61766511e+00, -2.08591134e+00,  3.69681441e-01
1960-09-01, -4.14480285e-01,  1.33266910e-01, -7.37039748e-01,  1.37137933e+00
1960-10-01,  2.52238226e+00, -1.95336832e+00, -1.45813216e+00,  1.66177730e+00
1960-11-01,  1.11350937e+00,  2.03406002e-01, -1.79865820e+00,  4.61042791e-01
1960-12-01, -2.29414498e-01,  4.11701208e-01,  2.98834624e-01, -6.70856103e-01
1961-01-01,  1.41937066e-01, -5.63003296e-02,  9.82945099e-02, -2.32229557e-01
1961-02-01, -4.02188450e-02,  5.04681683e-01, -4.58516223e-01, -2.87040447e-01
1961-03-01, -7.99978436e-01,  1.00225433e-01,  3.10368870e-01,  7.69260539e-01
1961-04-01,  1.68822436e+00,  8.05248875e-01, -2.07447864e+00, -1.67517767e+00
1961-05-01,  6.47263484e-01, -2.04835043e-01, -6.06150404e-01, -4.39029104e-02
1961-06-01, -9.07989730e-01,  1.31705815e+00, -2.28044357e-01, -2.92886957e-01
1961-07-01,  8.40534689e-01,  2.11382713e-01, -1.83232757e-01, -1.21729385e+00
1961-08-01, -6.57052837e-01,  1.52521551e+00, -7.90862079e-02, -9.12395782e-01
