# n_modes: 20
# low_latitude_boundary:  -2.00000000e+01
# eofs_start_date: 19790101
# eofs_end_date: 20011230
# loading_pattern_input_file: jra.55.hgt.500.1958010100_2018123118.anom.dayofyear.19790101_20011230.nc
# anomalies_input_file: jra.55.hgt.500.1958010100_2018123118.anom.month.19790101_20011230.nc
# base_period_start: 19790101
# base_period_end: 20011230
# psa1_mode: 1
# psa2_mode: 2
# psa1_index_normalization:   2.58176514e+03
# psa2_index_normalization:   2.48715283e+03
# calendar: proleptic_gregorian
date,psa_index_1,psa_index_2
1958-01-01, -1.64401853e-01,  1.35598681e-01
1958-02-01,  3.01341559e-01, -5.89807188e-01
1958-03-01,  4.07116005e-01, -3.32067948e-01
1958-04-01, -6.36968278e-01,  6.01537884e-01
1958-05-01,  1.58721232e-01,  6.47365141e-01
1958-06-01, -2.25269858e-01, -2.82657742e-01
1958-07-01,  5.92505820e-02,  6.60844571e-01
1958-08-01, -1.88428531e-01, -1.59062822e-01
1958-09-01, -4.11586459e-01, -8.49578793e-02
1958-10-01,  9.15132218e-01,  9.41416353e-01
1958-11-01, -8.27680601e-02,  3.00913422e-04
1958-12-01, -4.23767549e-01, -5.50348114e-01
1959-01-01,  1.14364652e-01, -8.68194567e-01
1959-02-01, -2.99855387e-01, -2.13505186e-01
1959-03-01,  6.82107826e-01,  1.22501022e-01
1959-04-01, -1.32274559e-01, -4.06930805e-01
1959-05-01, -5.35704750e-01,  9.07020842e-01
1959-06-01, -5.63640275e-01,  4.15855874e-01
1959-07-01,  8.76413628e-02, -2.71023900e-01
1959-08-01, -3.40768765e-02, -4.78820768e-01
1959-09-01, -3.32816541e-01, -2.70429819e-01
1959-10-01, -2.26758906e-01,  6.10693041e-01
1959-11-01, -6.37657369e-01, -6.87333519e-01
1959-12-01,  6.72132272e-01, -3.36651801e-01
1960-01-01, -6.24556440e-01, -4.33705542e-01
1960-02-01, -3.88329552e-02, -9.40338859e-02
1960-03-01, -2.04458164e-01, -1.45644651e-01
1960-04-01,  6.39744843e-01, -3.43469443e-01
1960-05-01,  4.13999272e-01,  5.41678577e-01
1960-06-01, -1.43958707e-01,  7.53650136e-02
1960-07-01,  7.25472624e-01,  4.51737731e-01
1960-08-01,  1.90796477e-01, -2.61444623e-01
1960-09-01,  2.72063070e-01,  1.24386583e-01
1960-10-01,  2.24246489e-01,  8.87795522e-01
1960-11-01,  1.89243038e-01,  8.11906969e-01
1960-12-01,  4.89859350e-01, -7.05549244e-02
1961-01-01, -3.79152675e-01, -1.36840756e-01
1961-02-01,  3.39925188e-01, -1.83419600e-01
1961-03-01, -3.46173772e-01,  5.63106135e-01
1961-04-01,  5.07966771e-01, -1.86696798e-01
1961-05-01, -5.97361442e-01,  3.01162166e-01
1961-06-01,  1.86584091e-01,  6.22050031e-01
1961-07-01,  3.41307929e-01, -2.20764283e-01
1961-08-01,  2.38711652e-01, -3.09525119e-02
1961-09-01,  8.89711635e-02, -4.92669591e-01
1961-10-01,  3.79613062e-01, -1.73647657e-01
1961-11-01,  2.94372147e-01, -1.68492770e-01
1961-12-01,  4.59584790e-02, -5.89237240e-01
1962-01-01,  1.00045600e-02, -9.72562407e-01
1962-02-01, -3.98733062e-01, -1.37717694e-01
1962-03-01, -3.51097283e-01,  9.51878056e-02
1962-04-01, -2.24351692e-02, -2.85040047e-01
1962-05-01,  1.27582606e+00,  3.10924853e-01
1962-06-01,  2.47698646e-02,  4.98128610e-01
1962-07-01,  8.49090528e-01, -4.52604792e-01
1962-08-01, -4.97502751e-01, -2.80342716e-01
1962-09-01, -6.68969274e-01,  3.70523678e-01
1962-10-01,  4.53400888e-01,  6.88929438e-01
1962-11-01,  3.44046998e-01,  6.91632944e-01
1962-12-01,  5.11114563e-02, -3.04790261e-01
1963-01-01, -2.45605415e-01, -4.36631648e-01
1963-02-01,  4.58101337e-01, -7.04125628e-01
1963-03-01, -8.00424600e-01, -3.03316125e-01
1963-04-01, -5.26258388e-01, -4.07203825e-01
1963-05-01,  1.87056187e-01, -9.71141568e-02
1963-06-01, -1.96775462e-01, -3.65142253e-01
1963-07-01,  8.74526989e-01,  3.64316867e-01
1963-08-01, -2.73217345e-01, -2.99997059e-01
1963-09-01, -8.37036869e-02,  7.49784370e-02
1963-10-01, -4.11782219e-02, -9.71151835e-01
1963-11-01, -6.80619225e-02, -2.88769365e-01
1963-12-01,  2.56937916e-01,  9.00537729e-01
1964-01-01,  1.63795456e-01,  3.90822822e-01
1964-02-01, -9.07038281e-02, -5.95927569e-01
1964-03-01,  3.03690752e-01,  1.26051344e-01
1964-04-01,  4.38541788e-01, -6.50018169e-01
1964-05-01,  2.94946713e-01,  8.95058528e-02
1964-06-01,  5.60832221e-01,  5.72123908e-01
1964-07-01,  3.50877947e-01,  5.95166457e-01
1964-08-01,  4.07260319e-01,  1.34386259e+00
1964-09-01,  3.52323078e-02,  8.09204940e-02
1964-10-01, -2.40154057e-01,  5.70918502e-01
1964-11-01,  6.86869685e-02,  8.48043504e-01
1964-12-01,  6.03736255e-01,  4.55213634e-01
1965-01-01,  6.99686746e-01,  4.66165547e-01
1965-02-01,  4.28379265e-01,  1.48715524e+00
1965-03-01,  6.10925579e-01,  7.42057247e-01
1965-04-01, -1.04050902e-01, -3.10242928e-02
1965-05-01,  3.65123427e-01,  1.85955827e-01
1965-06-01, -4.40561962e-01,  6.95556160e-01
1965-07-01, -1.07311659e-01,  9.33653733e-02
1965-08-01,  5.35112682e-01, -2.19323068e-01
1965-09-01, -3.36445139e-02, -2.97443208e-01
1965-10-01, -5.52957101e-01, -3.87391327e-01
1965-11-01, -2.52979731e-01,  2.78041623e-01
1965-12-01,  2.14246789e-01, -2.27476811e-01
1966-01-01, -4.00745869e-01, -5.44423711e-01
1966-02-01, -7.00567299e-02, -1.06043996e+00
1966-03-01,  2.66348483e-02, -1.63948133e-01
1966-04-01,  1.82426758e-02,  3.50356088e-01
1966-05-01, -8.44183855e-02,  5.37211998e-01
1966-06-01, -1.58351145e-01,  2.67963195e-01
1966-07-01,  1.89606742e-01,  8.18559739e-01
1966-08-01,  6.12235429e-01, -9.35805656e-02
1966-09-01,  1.87189137e-01, -5.27308716e-01
1966-10-01, -5.70119927e-03, -8.77291064e-02
1966-11-01, -1.08548134e-01,  9.35544793e-02
1966-12-01, -6.58808173e-02,  1.57477566e-01
1967-01-01, -6.86752948e-03,  4.53624703e-01
1967-02-01,  1.05329967e-04, -3.28233364e-01
1967-03-01,  2.05464407e-01, -3.45029795e-01
1967-04-01,  5.83924260e-02, -4.54570807e-01
1967-05-01,  1.09806579e+00,  6.05002964e-01
1967-06-01,  6.32323577e-01,  2.58695844e-01
1967-07-01,  7.31343479e-01,  1.51815022e-01
1967-08-01,  7.78993465e-01,  1.26633613e-01
1967-09-01,  2.51911017e-01,  4.93439522e-01
1967-10-01,  8.56912859e-01,  1.30320732e-01
1967-11-01, -2.41921981e-01,  9.33540185e-01
1967-12-01,  1.39319257e-01,  7.11572675e-02
1968-01-01, -1.15202139e+00,  2.54197621e-01
1968-02-01, -8.05474503e-01, -2.96940333e-02
1968-03-01,  6.19455438e-01, -1.08058595e+00
