# mode: 0
# n_modes: 20
# low_latitude_boundary:  -2.00000000e+01
# index_normalization:   1.93331775e+03
# eofs_start_date: 19790101
# eofs_end_date: 20011201
# loading_pattern_input_file: jra.55.hgt.500.1958010100_2018123118.anom.month.19790101_20011230.nc
# anomalies_input_file: jra.55.hgt.500.1958010100_2018123118.anom.month.19790101_20011230.nc
# base_period_start: 19790101
# base_period_end: 20011230
# calendar: proleptic_gregorian
date,sam_index
1958-01-01,  8.87535345e-02
1958-02-01, -1.09418312e+00
1958-03-01, -9.64656494e-01
1958-04-01, -1.58683717e+00
1958-05-01, -1.74462660e+00
1958-06-01, -3.55590275e-01
1958-07-01, -2.01710771e+00
1958-08-01,  1.47883043e-01
1958-09-01,  1.09709259e+00
1958-10-01, -5.69393553e-01
1958-11-01,  5.20545593e-01
1958-12-01,  7.67672852e-01
1959-01-01,  3.60900189e-01
1959-02-01, -2.11037421e-02
1959-03-01, -5.41374129e-02
1959-04-01, -3.47256132e-01
1959-05-01, -5.81790729e-01
1959-06-01, -5.92804563e-01
1959-07-01, -1.47601582e+00
1959-08-01, -1.44250602e+00
1959-09-01,  1.40048533e+00
1959-10-01, -6.64518143e-01
1959-11-01,  7.76874301e-02
1959-12-01, -3.27342323e-01
1960-01-01, -5.53144240e-01
1960-02-01,  2.17471004e-01
1960-03-01,  9.95031002e-01
1960-04-01, -1.08559162e+00
1960-05-01,  3.53792580e-01
1960-06-01,  1.60580469e+00
1960-07-01, -6.32939334e-01
1960-08-01,  6.55967819e-01
1960-09-01,  7.64967972e-01
1960-10-01, -1.17222351e-01
1960-11-01, -9.90865187e-01
1960-12-01, -8.46146040e-01
1961-01-01, -1.10254966e-01
1961-02-01, -1.15317747e+00
1961-03-01, -4.32147605e-01
1961-04-01, -5.20543822e-01
1961-05-01, -3.52704494e-02
1961-06-01, -9.03152356e-01
1961-07-01, -1.45622596e+00
1961-08-01,  1.90829548e-01
1961-09-01, -7.09836411e-02
1961-10-01,  5.71099450e-03
1961-11-01, -6.93901036e-01
1961-12-01,  9.47424197e-01
1962-01-01,  1.09769721e+00
1962-02-01, -1.46459396e-01
1962-03-01, -4.09535845e-01
1962-04-01, -5.38190957e-01
1962-05-01,  3.89982909e-01
1962-06-01, -3.76032054e-01
1962-07-01,  5.04604904e-01
1962-08-01,  4.20126814e-01
1962-09-01,  5.46273430e-01
1962-10-01, -7.49153024e-01
1962-11-01, -1.21645518e+00
1962-12-01, -2.98037418e-01
1963-01-01, -5.71974199e-01
1963-02-01, -3.20250653e-01
1963-03-01, -6.56797555e-01
1963-04-01, -1.27862893e-01
1963-05-01,  6.00869997e-01
1963-06-01,  1.56746076e+00
1963-07-01, -8.78316200e-01
1963-08-01,  2.27756896e-01
1963-09-01, -4.26045951e-01
1963-10-01,  3.85161734e-01
1963-11-01, -6.45334237e-01
1963-12-01, -8.69702463e-01
1964-01-01, -1.52031999e+00
1964-02-01, -5.56473267e-01
1964-03-01, -1.01830820e+00
1964-04-01,  9.92976498e-01
1964-05-01, -2.18919193e-01
1964-06-01, -1.47965751e+00
1964-07-01, -2.97955199e+00
1964-08-01, -1.88393010e+00
1964-09-01, -4.27260341e-01
1964-10-01, -1.03570243e+00
1964-11-01, -3.57038457e+00
1964-12-01, -1.80556623e+00
1965-01-01, -3.97190602e-01
1965-02-01, -2.48444920e+00
1965-03-01, -1.26069192e+00
1965-04-01, -2.29545818e-01
1965-05-01, -2.18249292e+00
1965-06-01, -1.37965202e+00
