# mode: 0
# n_modes: 20
# index_normalization:   4.74323422e+00
# eofs_start_date: 19790101
# eofs_end_date: 20011201
# loading_pattern_input_file: nnr1.skt.sfc.gauss.19480101_20191231.anom.month.19790101_20011230.nc
# anomalies_input_file: nnr1.skt.sfc.gauss.19480101_20191231.anom.month.19790101_20011230.nc
# base_period_start: 19790101
# base_period_end: 20011230
# calendar: proleptic_gregorian
date,iod_index
1948-01-01, -1.97789974e+00
1948-02-01, -1.06388901e+00
1948-03-01, -9.49504010e-01
1948-04-01, -1.20991871e+00
1948-05-01, -1.01694317e+00
1948-06-01, -4.20690660e-01
1948-07-01, -9.78644544e-01
1948-08-01, -1.09855948e+00
1948-09-01, -2.10413390e+00
1948-10-01, -1.60895665e+00
1948-11-01, -1.49315194e+00
1948-12-01, -1.42160864e+00
1949-01-01, -1.42525053e+00
1949-02-01, -7.56580925e-01
1949-03-01, -1.21851264e+00
1949-04-01, -1.14215800e+00
1949-05-01, -1.82040939e+00
1949-06-01, -1.44841227e+00
1949-07-01, -4.37886600e-01
1949-08-01, -5.61732562e-01
1949-09-01, -5.58820567e-01
1949-10-01, -9.51450878e-01
1949-11-01, -1.46544736e+00
1949-12-01, -2.05159377e+00
1950-01-01, -1.35281875e+00
1950-02-01, -1.97429754e+00
1950-03-01, -1.71204423e+00
1950-04-01, -2.19757861e+00
1950-05-01, -1.91047358e+00
1950-06-01, -2.06400801e+00
1950-07-01, -1.25505646e+00
1950-08-01, -7.33872837e-01
1950-09-01, -1.43165548e+00
1950-10-01, -1.47568896e+00
1950-11-01, -2.47913253e+00
1950-12-01, -2.85497544e+00
1951-01-01, -2.56133970e+00
1951-02-01, -2.18235799e+00
1951-03-01, -2.12115804e+00
1951-04-01, -2.95583236e+00
1951-05-01, -2.43098932e+00
1951-06-01, -1.32829363e+00
1951-07-01, -1.24225523e+00
1951-08-01, -8.38170565e-01
1951-09-01, -3.03298284e-01
1951-10-01, -2.08020682e-02
1951-11-01, -2.25110829e-01
1951-12-01, -6.61762786e-01
1952-01-01, -5.82578675e-01
1952-02-01,  2.24555607e-02
1952-03-01,  5.00636011e-02
1952-04-01, -5.37593372e-01
1952-05-01, -1.53689609e+00
1952-06-01, -1.44400314e+00
1952-07-01, -2.10991473e+00
1952-08-01, -1.82448904e+00
1952-09-01, -1.99508031e+00
1952-10-01, -1.92821844e+00
1952-11-01, -1.80948382e+00
1952-12-01, -1.41204388e+00
1953-01-01, -1.05409332e+00
1953-02-01, -3.34693139e-01
1953-03-01,  1.88301013e-01
1953-04-01, -4.26500877e-01
1953-05-01, -4.35353646e-01
1953-06-01, -2.96520725e-01
1953-07-01, -6.02673517e-01
