# mode: 0
# n_modes: 10
# loading_pattern_sst_input_file: nnr1.skt.sfc.gauss.19480101_20191231.2.5x2.5.anom.seasonal.19790101_20011230.nc
# loading_pattern_mslp_input_file: nnr1.slp.19480101_20200530.2.5x2.5.anom.seasonal.19790101_20011230.nc
# loading_pattern_uwnd_input_file: nnr1.uwnd.sig995.19480101_20200530.2.5x2.5.anom.seasonal.19790101_20011230.nc
# loading_pattern_vwnd_input_file: nnr1.vwnd.sig995.19480101_20200530.2.5x2.5.anom.seasonal.19790101_20011230.nc
# loading_pattern_olr_input_file: nnr1.ulwrf.ntat.gauss.19480101_20200530.2.5x2.5.anom.seasonal.19790101_20011230.nc
# seasonal_sst_anomalies_input_file: nnr1.skt.sfc.gauss.19480101_20191231.2.5x2.5.anom.seasonal.19790101_20011230.nc
# seasonal_mslp_anomalies_input_file: nnr1.slp.19480101_20200530.2.5x2.5.anom.seasonal.19790101_20011230.nc
# seasonal_uwnd_anomalies_input_file: nnr1.uwnd.sig995.19480101_20200530.2.5x2.5.anom.seasonal.19790101_20011230.nc
# seasonal_vwnd_anomalies_input_file: nnr1.vwnd.sig995.19480101_20200530.2.5x2.5.anom.seasonal.19790101_20011230.nc
# seasonal_olr_anomalies_input_file: nnr1.ulwrf.ntat.gauss.19480101_20200530.2.5x2.5.anom.seasonal.19790101_20011230.nc
# base_period_start: 19790101
# base_period_end: 20011230
# calendar: proleptic_gregorian
date,mei
1948-01-01,  2.55840297e-02
1948-02-01, -6.10595764e-02
1948-03-01,  4.13558067e-02
1948-04-01,  8.96018884e-02
1948-05-01,  1.86256233e-02
1948-06-01,  3.78883017e-01
1948-07-01,  4.61417078e-01
1948-08-01,  3.92788722e-01
1948-09-01,  2.57501418e-01
1948-10-01, -4.50165186e-01
1948-11-01, -6.00843909e-01
1948-12-01, -3.43653769e-01
1949-01-01, -2.20587475e-01
1949-02-01, -1.82822251e-01
1949-03-01, -4.85331461e-01
1949-04-01, -5.37674041e-01
1949-05-01, -2.40566655e-01
1949-06-01,  5.80285810e-02
1949-07-01,  7.21189538e-02
1949-08-01,  1.87315487e-01
1949-09-01, -2.52161160e-01
1949-10-01, -9.83525078e-01
1949-11-01, -1.14234247e+00
1949-12-01, -8.81883217e-01
1950-01-01, -9.13932856e-01
1950-02-01, -1.05138294e+00
1950-03-01, -1.23542593e+00
1950-04-01, -1.29884584e+00
1950-05-01, -1.26202880e+00
1950-06-01, -6.48365812e-01
1950-07-01, -4.59042561e-01
1950-08-01, -3.96763580e-01
1950-09-01, -6.17363514e-01
1950-10-01, -9.63032972e-01
1950-11-01, -1.02206010e+00
1950-12-01, -1.02985785e+00
1951-01-01, -9.86755054e-01
1951-02-01, -8.84471199e-01
1951-03-01, -9.10456986e-01
1951-04-01, -7.01098602e-01
1951-05-01, -3.29708057e-01
1951-06-01,  6.81501865e-01
1951-07-01,  8.35601292e-01
1951-08-01,  4.83515388e-01
1951-09-01,  3.69949477e-01
1951-10-01,  2.28751891e-01
1951-11-01,  2.44706255e-01
1951-12-01,  1.38853655e-01
1952-01-01, -7.60881548e-02
1952-02-01, -4.50280835e-03
1952-03-01, -2.20420094e-01
1952-04-01, -2.84222921e-01
1952-05-01, -3.40635778e-01
1952-06-01, -1.88333717e-01
1952-07-01, -2.89381682e-01
1952-08-01, -5.48856020e-03
1952-09-01,  1.82237389e-01
1952-10-01, -1.04589957e-01
1952-11-01, -3.43833342e-01
1952-12-01, -3.07680295e-01
1953-01-01, -3.47049409e-01
1953-02-01, -2.19813236e-02
1953-03-01, -1.97673961e-01
1953-04-01, -3.55391660e-01
1953-05-01, -1.16688082e-01
1953-06-01,  2.01456388e-01
1953-07-01,  3.59034986e-01
1953-08-01,  5.06933565e-01
1953-09-01,  4.89533688e-01
1953-10-01, -2.99552341e-01
1953-11-01, -4.07282969e-01
1953-12-01, -2.04111900e-01
1954-01-01, -3.66769146e-01
1954-02-01, -3.58310715e-01
1954-03-01, -4.52217649e-01
1954-04-01, -8.65512401e-01
