# n_modes: 24
# season: DJF
# base_period_start_date: 19790101
# base_period_end_date: 20011201
# composites_input_file: nnr1.hgt.500.19480101_20200530.rolling_mean.window_length_10.anom.dayofyear.19790101_20011230.nc
# anomalies_input_file: nnr1.hgt.500.19480101_20200530.rolling_mean.window_length_10.anom.month.19790101_20011230.nc
# base_period_start: 19790101
# base_period_end: 20011230
# calendar: proleptic_gregorian
date,nhtele_index_1,nhtele_index_2,nhtele_index_3,nhtele_index_4
1948-01-01,  4.41826738e-01,  6.04287010e-01, -4.76094792e-01, -1.27036946e+00
1948-02-01,  4.54704020e-02,  5.29822794e-01, -1.41760151e+00,  1.28887268e+00
1948-03-01, -1.21365136e+00,  7.29850716e-01, -1.73904238e+00,  2.90391507e+00
1948-04-01, -1.80252381e+00,  1.91457426e+00, -2.39379980e+00,  2.86775252e+00
1948-05-01,  5.21890864e-01, -7.60278080e-01,  4.89005139e-01, -2.82727827e-01
1948-06-01,  1.42471531e+00,  1.49840676e-01, -2.36601108e+00, -7.48889396e-01
1948-07-01,  1.97492880e+00, -1.72782167e+00,  1.90249775e-01, -4.08527625e-01
1948-08-01,  1.74002949e+00,  7.32842302e-01, -3.06746671e+00, -4.25598593e-01
1948-09-01, -3.30643269e-01,  2.54211752e-01,  3.33858961e-01, -5.11351363e-01
1948-10-01,  8.65123914e-02, -7.59960788e-02,  1.36173155e+00, -1.66380245e+00
1948-11-01,  4.13461402e-03,  8.04635930e-02, -2.03361482e-01,  8.62948899e-02
1948-12-01, -1.68105298e-01,  2.86457420e-02, -1.79925527e+00,  2.35970083e+00
1949-01-01, -1.22582695e+00,  7.92397386e-01,  5.71597953e-01, -4.24661889e-01
1949-02-01, -9.28873419e-01,  1.10526197e+00, -1.47305421e+00,  1.69380561e+00
1949-03-01, -1.52645441e-03, -5.62648594e-01,  5.86622233e-01,  4.27327236e-01
1949-04-01, -1.69694034e+00,  1.32930654e+00,  3.18645630e-01, -1.09210901e-01
1949-05-01, -9.56855552e-01,  1.25420580e+00,  1.05317321e-01, -3.82221035e-01
1949-06-01,  5.12552228e-01, -4.21270062e-03, -1.68973202e+00,  3.44801822e-01
1949-07-01,  3.09803555e-01, -1.07038197e+00, -1.19323545e-01,  1.35321300e+00
1949-08-01,  2.57436894e-01,  8.55679473e-02,  9.66832402e-01, -1.10861344e+00
1949-09-01,  2.07227790e-01, -1.00294053e+00, -4.23441148e-01,  2.30762538e+00
1949-10-01, -7.24533107e-01,  8.60918274e-01, -8.72610887e-01,  5.61027639e-01
1949-11-01,  4.71426455e-01,  1.70531436e-01, -8.32618382e-01,  1.54131519e-01
1949-12-01, -1.13939619e-01,  6.13291183e-01, -2.65292563e-01, -5.09172839e-01
1950-01-01, -2.05128129e-01,  5.51221606e-01, -2.34098914e+00,  2.36582631e+00
1950-02-01,  9.22204486e-02,  8.72049701e-01, -1.11908452e+00, -2.49397161e-01
1950-03-01,  8.07139210e-01, -3.11845699e-01, -7.45441713e-01,  1.59041186e-01
1950-04-01, -1.04245842e+00,  1.04540854e+00,  5.25651043e-01, -1.00097685e+00
1950-05-01,  3.94167309e-01, -5.25576126e-01, -4.40619878e-01,  6.46875436e-01
1950-06-01, -7.55858774e-01,  1.22252595e+00, -4.00128486e-02, -5.08108481e-01
1950-07-01,  1.64492905e+00,  1.36992874e+00, -2.21216025e+00, -1.07065077e+00
1950-08-01,  1.07603884e+00,  7.94657201e-01, -2.51129643e+00, -1.51037608e-01
1950-09-01, -1.11626060e+00,  1.64338816e+00,  3.22455521e-01, -2.05262321e+00
1950-10-01, -1.26303448e+00,  6.98323780e-01,  5.03214488e-01, -4.64720211e-03
1950-11-01,  5.77341811e-01, -3.20543301e-02, -9.21933041e-01,  4.73927334e-01
1950-12-01,  8.11086729e-01, -1.07669999e+00,  1.23861385e+00, -9.80619948e-01
1951-01-01, -2.62020166e-01, -3.18698518e-02,  6.15817551e-01, -3.52095603e-01
1951-02-01, -5.65848109e-01,  6.85600438e-01, -6.52201233e-01,  5.48062200e-01
1951-03-01,  1.86452187e+00, -9.74564591e-01, -2.09162801e-01, -1.06660970e+00
1951-04-01,  9.27678529e-01,  2.67420813e-01,  5.85521320e-02, -2.39246272e+00
1951-05-01,  1.10070722e+00, -1.60966031e+00, -4.44193531e-02,  6.05611660e-01
1951-06-01,  2.33450814e+00, -1.28099013e+00, -2.48712079e+00, -8.58267175e-02
1951-07-01, -6.48537184e-03,  9.99776138e-01, -1.01508178e+00, -9.06930743e-03
1951-08-01,  3.70332794e-01,  1.25655517e-01, -1.52979879e+00,  6.09409913e-01
1951-09-01,  1.32426386e+00,  2.55666121e-01, -1.01529851e+00, -9.89449607e-01
1951-10-01, -1.23330234e+00,  1.61571644e-01, -6.91073098e-01,  2.35326358e+00
1951-11-01,  3.83119721e-01,  5.25682134e-02, -7.91804097e-01,  4.00315621e-01
1951-12-01, -9.92207954e-01,  1.57729009e+00, -6.94994620e-01, -1.81874261e-01
1952-01-01, -4.49432739e-01,  5.76478779e-01,  1.65016042e-01, -6.46377085e-01
1952-02-01,  7.40381412e-01, -1.00287647e+00,  1.15379916e+00, -1.00087240e+00
1952-03-01,  1.27898377e+00, -1.04628438e+00, -5.50001584e-01,  5.60481224e-01
1952-04-01, -8.62722632e-02,  4.45293017e-01, -6.14877718e-01,  1.09219729e-01
1952-05-01,  1.58213941e+00, -1.81593684e+00, -2.88997191e-01,  3.91658408e-01
1952-06-01,  6.72790128e-01, -1.33328104e-01,  6.16106222e-01, -1.13306029e+00
1952-07-01, -1.22869657e+00,  5.99411879e-01,  3.97845525e-01,  1.87199596e-01
1952-08-01,  1.14352998e+00, -5.32493293e-01, -3.04713080e-01, -4.53690188e-01
1952-09-01,  1.31977648e+00, -7.60465214e-01,  3.54901972e-01, -9.86246516e-01
1952-10-01,  7.49806979e-01,  2.31799791e-01, -9.94620016e-01, -2.76655540e-01
1952-11-01,  1.20136190e+00, -1.45908155e+00,  5.29440446e-01,  3.70563651e-01
1952-12-01,  1.02031278e+00, -1.59215311e+00,  1.38115930e+00, -6.53246646e-01
1953-01-01,  1.21934811e-01, -1.16827546e+00,  1.11497598e+00,  6.34796600e-01
1953-02-01,  2.21485090e-01, -7.65232468e-01,  1.02229917e+00, -4.08818667e-01
1953-03-01, -9.18062678e-01, -3.18097429e-01, -3.83199043e-02,  2.34923056e+00
1953-04-01,  1.40366462e+00, -8.13977203e-01,  8.65366593e-01, -2.17903510e+00
1953-05-01,  1.24293779e+00, -4.73842522e-01, -1.23629688e+00,  3.61247669e-02
1953-06-01, -5.60198109e-01,  5.91401787e-02, -1.81770183e+00,  1.85810901e+00
1953-07-01,  6.56708695e-01,  7.30238290e-01, -1.36791894e+00, -3.55159182e-02
1953-08-01,  6.14960188e-01,  4.05242783e-01, -8.77100352e-01, -4.50071763e-01
1953-09-01,  1.35897895e-01, -1.30701076e-01,  5.47374966e-02, -3.54987001e-02
1953-10-01, -1.21248357e+00,  2.61890595e-01, -2.62585191e-01,  1.62780749e+00
1953-11-01, -1.43332482e+00,  6.21720137e-01,  1.98573897e-01,  5.51793445e-01
1953-12-01, -1.03155564e+00,  6.06616103e-01, -8.08298606e-01,  1.67363588e+00
1954-01-01, -5.06578595e-01, -1.72597778e-01,  2.00369398e-01,  8.93713836e-01
1954-02-01, -5.04191713e-01, -2.66199489e-01,  2.75413295e-01,  1.07907182e+00
1954-03-01,  9.74694672e-01, -3.98200847e-01, -1.13571237e+00,  5.42125247e-01
1954-04-01, -1.20914591e+00,  1.60432345e+00, -2.47257364e+00,  2.52836803e+00
1954-05-01,  1.88360672e+00, -1.88088785e+00, -5.76562965e-01,  3.39951030e-01
1954-06-01,  7.16127718e-01, -7.40643381e-01,  6.98741467e-01, -4.89400171e-01
1954-07-01, -1.84316893e-01, -3.38649094e-01,  1.28748669e+00, -1.10260496e+00
1954-08-01,  3.06254533e+00,  3.10678957e-01, -3.15208942e+00, -1.31869103e+00
1954-09-01, -1.11454532e-01,  1.28551310e+00, -1.69627622e-01, -2.13071439e+00
1954-10-01, -5.32884726e-01,  8.39229900e-01,  5.22227137e-01, -1.36058766e+00
1954-11-01, -9.69140542e-01,  4.39466522e-01,  1.85188084e-01,  2.78728847e-01
1954-12-01, -6.85772540e-01,  6.79291085e-01,  5.18318662e-01, -5.86354163e-01
1955-01-01,  1.00996215e+00, -9.81801799e-01,  8.00543864e-01, -7.29196299e-01
1955-02-01,  1.55096214e+00, -5.94055212e-01, -8.46974624e-02, -1.16549133e+00
1955-03-01,  1.08054361e+00, -4.18726354e-01, -1.42451879e+00,  7.90842424e-01
1955-04-01,  4.40544119e-01, -6.10257024e-01, -8.65667671e-02,  5.85028749e-01
1955-05-01,  6.89618369e-01,  1.07813087e+00, -2.74206248e-01, -2.57225701e+00
1955-06-01,  1.37040836e+00, -7.33750169e-01,  5.93767777e-01, -1.35352514e+00
1955-07-01, -2.06293748e+00, -1.14211731e-01,  8.67022646e-01,  1.69912004e+00
1955-08-01, -8.45350814e-01, -7.91928798e-01, -1.56004209e+00,  2.94373897e+00
1955-09-01, -9.14708295e-01,  9.68756624e-01, -9.34745620e-01,  8.24577916e-01
1955-10-01,  8.04611062e-01, -1.46150802e+00,  1.11289776e+00,  5.48570779e-02
1955-11-01,  2.23324545e+00, -1.69628670e+00, -1.02611350e+00,  1.35752238e+00
1955-12-01,  1.11558222e+00, -9.46097396e-02, -1.21444730e+00, -2.80309748e-01
1956-01-01,  8.11423692e-01, -8.09882564e-01,  1.06160299e+00, -1.10105632e+00
1956-02-01,  6.71710599e-01, -9.10225393e-01, -2.37105569e-01,  1.58548074e+00
1956-03-01, -1.91140868e-01,  2.54494363e-01, -1.21907053e+00,  1.40822677e+00
1956-04-01,  1.94248632e+00, -1.76086300e+00, -3.38227328e-01,  5.87762772e-01
1956-05-01, -1.52558697e+00,  2.70576337e+00, -1.56509150e+00,  3.41408111e-01
1956-06-01, -8.27528335e-01, -1.38937156e-01,  1.20155122e+00,  6.07438036e-01
1956-07-01,  2.16324282e+00, -7.55719136e-01, -1.28576738e+00,  6.09191134e-02
1956-08-01,  2.27592911e+00, -4.70338733e-01, -1.37271625e+00, -9.46067848e-01
1956-09-01,  8.63711006e-01, -3.65963141e-01, -1.51316492e+00,  1.61674213e+00
1956-10-01, -1.11080112e+00,  6.10093181e-02,  3.38540975e-01,  1.07241974e+00
1956-11-01, -2.87566575e-02, -7.33715677e-01,  2.55736833e-01,  1.01435977e+00
1956-12-01, -6.31464126e-01,  1.43216112e+00, -1.47363257e+00,  3.86612602e-01
1957-01-01, -5.94921182e-01,  8.58627281e-01, -1.79186555e+00,  1.64750650e+00
1957-02-01,  1.21223888e+00,  9.93844510e-01, -1.90442894e+00, -1.09102656e+00
1957-03-01,  1.96765290e+00, -1.34221655e+00, -8.90582880e-01,  3.75877110e-01
1957-04-01,  1.03733484e-02,  1.88330263e-01, -1.74539339e+00,  2.17714944e+00
1957-05-01,  6.01074838e-01, -4.39992898e-01, -8.46247888e-01,  6.58292317e-01
1957-06-01,  1.35398326e+00, -4.42335426e-01, -1.96052593e+00, -1.10983648e-01
1957-07-01,  1.46713082e+00, -1.43394295e+00, -2.63573380e-01,  5.43191359e-01
1957-08-01,  3.98545166e-01,  5.18896442e-03,  1.04629344e-01, -5.08281246e-01
1957-09-01,  1.22778857e+00, -5.57313363e-01,  3.64570382e-01, -1.21210355e+00
1957-10-01, -2.05066811e-01, -1.54140226e-01,  7.57287617e-01, -3.53696748e-01
1957-11-01,  1.99497361e-01, -4.24260009e-01, -7.95111419e-01,  1.49855909e+00
1957-12-01, -5.16136896e-01,  1.20639575e-01,  4.27735973e-01,  1.43342119e-01
1958-01-01,  5.44486550e-01, -1.11808182e+00,  2.19963015e+00, -1.59764429e+00
1958-02-01,  2.21549232e+00, -1.43668264e+00,  4.78976022e-01, -1.33150519e+00
1958-03-01,  2.66177841e+00, -2.02256804e+00, -8.67876871e-02, -5.00060688e-01
1958-04-01,  3.23936537e-01, -8.96511561e-01,  2.98557194e-01,  8.66046644e-01
1958-05-01, -8.70475445e-02,  1.20635510e+00, -1.37810317e-01, -1.53151187e+00
1958-06-01,  1.12792466e+00, -5.34134257e-01, -1.16172342e+00, -1.28960550e-01
1958-07-01,  2.65345990e+00, -1.04780420e-01, -2.16565412e+00, -3.14065583e-01
1958-08-01,  1.98832670e+00, -7.43809757e-01, -9.68817763e-01, -6.26931338e-01
1958-09-01, -8.47354882e-02, -8.98311557e-01, -1.27390267e+00,  3.70710850e+00
1958-10-01, -5.68839353e-01, -1.37861178e-01, -3.33234009e-01,  1.46579934e+00
1958-11-01, -1.20545186e+00, -7.64058928e-02, -2.38140303e-01,  2.05968692e+00
1958-12-01,  1.04020250e+00, -2.91004237e-01, -7.31683144e-01, -3.78774950e-01
1959-01-01,  1.84413062e+00, -9.87122281e-01,  1.64362040e-01, -1.17086735e+00
1959-02-01, -1.29336852e+00,  6.32814687e-01, -1.00863945e+00,  2.69921042e+00
1959-03-01, -6.89617839e-01,  7.61906315e-01, -1.66759367e+00,  1.81911675e+00
1959-04-01,  6.43558146e-02,  1.20171100e+00, -1.44685970e+00, -5.33411502e-01
1959-05-01,  9.10493245e-02, -3.14390585e-01, -9.20531789e-01,  1.43300750e+00
1959-06-01, -1.84719295e-01,  6.05232895e-01, -1.15675269e+00,  1.76769381e-01
1959-07-01, -1.01943079e+00,  7.55539439e-01,  8.31696515e-02,  1.43029277e-01
1959-08-01,  1.09185060e+00, -3.50678367e-01, -2.76437242e+00,  1.25439206e+00
1959-09-01, -1.23337424e-02, -6.49674478e-01, -1.89893386e-03,  1.26392335e+00
1959-10-01,  9.00378872e-02,  2.47764976e-01, -2.84047722e+00,  2.85889112e+00
1959-11-01, -1.11173630e-01,  4.98973488e-01, -6.78595951e-01,  1.51678114e-01
1959-12-01, -2.06254871e-01,  4.03703811e-01,  2.36064989e-02, -3.57628566e-01
1960-01-01,  1.29653265e+00, -9.19813801e-01,  6.36729928e-02, -3.01462426e-01
1960-02-01,  2.41809398e+00, -1.67913945e+00,  3.48375444e-01, -8.45201551e-01
1960-03-01,  1.56614606e+00, -8.04246775e-01, -2.58887672e+00,  2.21030113e+00
1960-04-01, -9.11421123e-01,  5.57697731e-01, -7.95265666e-01,  1.71579110e+00
1960-05-01,  1.89328768e+00, -1.20326735e+00, -1.64011459e+00,  4.86021347e-01
1960-06-01,  1.06173932e-01, -5.87853846e-02, -1.27249517e+00,  7.15931625e-01
1960-07-01,  1.05327026e+00, -2.36098755e-01, -8.45325802e-01,  1.59302601e-01
1960-08-01,  3.10580592e+00, -1.68450402e+00, -2.50266448e+00,  3.30022185e-01
1960-09-01, -1.49588930e-01,  1.49403431e-01, -1.20335411e+00,  1.66824984e+00
1960-10-01,  2.29618480e+00, -1.87594538e+00, -1.10182193e+00,  1.30226237e+00
1960-11-01,  9.64828489e-01,  1.85143341e-01, -1.33025345e+00,  5.96538388e-02
1960-12-01, -3.35376763e-01,  2.91084817e-01,  7.55072130e-01, -8.02878659e-01
1961-01-01,  1.49173614e-01, -1.44426951e-01,  1.59610503e-01, -1.44754140e-01
1961-02-01,  4.90613552e-02,  3.37513501e-01, -4.17236608e-01, -1.58139970e-01
1961-03-01, -6.32986054e-01, -1.26594409e-03,  1.99279408e-01,  8.59370344e-01
1961-04-01,  1.76476083e+00,  5.77893553e-01, -1.83518932e+00, -1.86108144e+00
1961-05-01,  8.22047893e-01, -1.96623632e-01, -9.27675014e-01, -3.93494346e-02
1961-06-01, -7.54683933e-01,  1.09879400e+00,  3.59735756e-01, -5.80704178e-01
1961-07-01,  8.81576482e-01, -2.21005151e-01,  2.47508785e-01, -1.21072847e+00
1961-08-01, -3.87227481e-01,  1.41285013e+00, -3.61441761e-01, -8.65092192e-01
1961-09-01, -6.24852661e-01,  1.40830927e+00, -2.09370999e+00,  1.14345149e+00
1961-10-01, -7.68871345e-01,  4.27712774e-01, -1.15461031e+00,  1.78055233e+00
1961-11-01, -1.57919564e-01, -5.89419156e-01,  5.93448797e-01,  5.20152092e-01
1961-12-01,  1.36826172e+00, -1.04826918e+00, -5.35061064e-01,  1.01711077e-01
1962-01-01, -2.28171863e-01,  9.28104655e-01, -6.50988686e-01, -6.15011086e-01
1962-02-01, -9.42897773e-01,  7.25248580e-02,  7.77777072e-01,  5.93455217e-02
1962-03-01,  3.58093417e+00, -2.47607467e+00, -6.48134632e-01, -4.90974147e-01
1962-04-01, -6.24370239e-01,  1.25497685e+00, -9.81138754e-01, -2.47358706e-02
1962-05-01,  2.09761260e-01,  1.09537600e-01, -9.25683559e-01,  5.47383773e-01
1962-06-01,  8.23340876e-01,  5.25638592e-01, -2.94184637e+00, -2.54830988e-02
1962-07-01,  2.80722330e+00, -2.28353458e+00,  4.46129688e-01, -1.03963105e+00
1962-08-01,  3.09769444e-01,  8.46999164e-01,  2.94287409e-01, -1.49699308e+00
1962-09-01,  9.93532895e-02,  3.19873355e-01, -4.74055989e-02, -7.09402490e-01
1962-10-01, -3.38067940e-02, -1.01124232e+00, -2.44699358e-02,  1.85237925e+00
1962-11-01, -3.15931441e-01, -4.49987247e-01,  7.39026015e-01,  3.21805255e-01
1962-12-01, -3.21203230e-02, -6.63513105e-01,  7.99167554e-01,  2.17124100e-01
1963-01-01,  1.65978263e+00, -1.40032659e+00, -4.78361185e-01,  8.01340288e-01
1963-02-01,  1.83985058e+00, -1.30936213e+00, -9.58238394e-02,  1.45329708e-01
1963-03-01,  3.02337317e-01,  3.73833286e-01, -2.10676776e+00,  1.39482017e+00
1963-04-01,  1.30165167e+00, -2.32509191e-01, -1.97844287e+00,  9.76961020e-01
1963-05-01, -2.08935134e+00,  2.35221986e+00, -1.84712786e-01,  2.64577350e-01
1963-06-01,  6.90045294e-01, -6.47770385e-01, -1.89341506e+00,  1.05686634e+00
1963-07-01,  7.00580879e-01, -5.00774663e-01, -3.14989457e-01,  2.49857788e-01
1963-08-01,  7.92620265e-01,  6.96884511e-01, -2.17438741e+00,  1.32520547e-04
1963-09-01, -1.74732522e+00,  9.58655491e-01, -3.49379045e-01,  1.20362905e+00
1963-10-01, -2.47453217e+00,  1.17394541e+00,  2.10664903e+00, -1.03529425e+00
1963-11-01,  1.51126730e+00, -4.36985406e-01, -2.60186632e-01, -9.09901747e-01
1963-12-01,  1.07999729e+00, -1.18638558e+00, -5.08132285e-01,  7.99396012e-01
1964-01-01,  1.95787558e-02, -9.70869469e-01, -3.24964531e-01,  2.33103990e+00
1964-02-01,  3.84288549e-01, -5.30146241e-01,  2.92448611e-01,  7.65752033e-02
1964-03-01,  4.08412533e-01, -3.91880560e-02, -2.88428264e+00,  3.07256763e+00
1964-04-01, -9.85024090e-01,  1.27413171e+00, -1.81001193e+00,  1.82116824e+00
1964-05-01, -9.64502831e-01,  2.18832071e+00, -1.22239771e+00, -2.62888616e-01
1964-06-01,  3.49242566e-01,  7.26479266e-01, -4.18904001e+00,  1.17047548e+00
1964-07-01, -1.17255928e+00,  1.00833777e+00, -5.34704188e-01,  8.36651505e-01
1964-08-01,  2.60711859e+00, -1.89996201e+00, -2.91254416e-01, -5.38230164e-01
1964-09-01,  8.67339229e-01,  3.70706104e-01, -9.24187613e-01, -6.68032129e-01
1964-10-01, -8.67793676e-01, -2.25273586e-01,  2.36757898e-01,  1.38918224e+00
1964-11-01,  3.96362384e-01, -4.19041495e-01, -4.07639368e-01,  7.23229289e-01
1964-12-01, -3.17808085e-02, -9.77826695e-02,  2.68372845e-02,  1.94135420e-01
1965-01-01,  1.94864277e-01, -2.44276222e-02,  1.74740884e-02, -2.87793900e-01
1965-02-01,  1.34961160e+00, -1.71740497e+00, -2.44871296e-01,  2.38660082e+00
1965-03-01,  2.23977144e+00, -1.04647473e+00, -1.39856979e+00, -7.38903630e-02
1965-04-01, -8.82982586e-01,  8.17727709e-01, -1.08750712e+00,  1.52945042e+00
1965-05-01,  7.76350718e-01,  9.54046358e-02, -1.09688352e+00, -2.12363178e-01
1965-06-01,  7.02142329e-01, -3.92566528e-01, -3.38959058e-01, -2.79344476e-01
1965-07-01,  5.12635504e-01,  3.58662273e-01,  4.04603307e-02, -1.26665628e+00
1965-08-01,  8.49128490e-01,  8.36487304e-01, -1.96665131e+00, -3.64970901e-01
1965-09-01,  1.29602528e-01,  1.11199509e+00, -1.81713065e+00,  2.60573085e-01
1965-10-01, -4.25401871e-01, -1.35719162e+00,  3.40513385e-01,  2.61039577e+00
1965-11-01,  1.66928188e+00, -8.41456961e-01, -6.94709968e-01,  1.84608883e-01
1965-12-01,  2.84298326e-01,  3.97713882e-01,  6.11667853e-01, -1.86379855e+00
1966-01-01,  1.27024852e+00, -1.01841011e+00,  2.00459153e-02, -1.26817361e-02
1966-02-01,  2.45210767e+00, -6.66545001e-01, -9.48185281e-01, -9.83605254e-01
1966-03-01,  6.47015714e-01, -6.87675937e-01,  3.57931995e-01, -2.11845800e-01
1966-04-01,  2.15388579e+00, -1.87984330e-01, -1.83195308e+00, -9.30050523e-01
1966-05-01, -1.09210342e+00,  2.60455309e+00, -1.88184530e+00,  1.06887743e-01
1966-06-01, -9.33856049e-01,  1.37976747e-01, -2.27605163e-01,  1.28331640e+00
1966-07-01, -1.48490061e-01, -1.47811339e+00,  1.35619611e+00,  4.38415606e-01
1966-08-01,  3.20754016e+00, -2.23948127e+00, -3.99636128e-01, -7.62640192e-01
1966-09-01,  7.85272458e-01, -8.46561390e-01,  1.00272299e+00, -9.66050769e-01
1966-10-01,  1.18982262e+00, -7.42823630e-01, -7.33120341e-01,  4.59608492e-01
1966-11-01, -6.85969723e-01, -2.11564692e-01,  3.57566466e-01,  8.70320002e-01
1966-12-01, -3.76927564e-01, -4.77705420e-02,  1.44013916e+00, -9.72459738e-01
1967-01-01,  4.75880767e-01, -8.36295449e-01,  3.67994949e-01,  4.12215913e-01
1967-02-01, -3.24914893e-01,  4.05452009e-01, -7.52800508e-01,  1.00999544e+00
1967-03-01, -9.92858192e-01,  1.96250340e+00, -1.29669350e+00, -5.92710081e-01
1967-04-01, -1.60650938e+00,  9.32044055e-01, -2.30704798e-01,  1.40745788e+00
1967-05-01,  3.05616039e-01,  1.21309138e+00, -1.93486176e+00, -7.59721807e-02
1967-06-01, -5.89102111e-01,  1.20962367e+00, -1.90193775e+00,  4.32338805e-01
1967-07-01, -8.25218638e-01,  1.53924816e+00, -5.33811962e-01, -3.87322055e-01
1967-08-01, -6.80220874e-01,  9.15908321e-01, -3.83989381e-01,  4.94692563e-02
1967-09-01, -4.74319604e-01, -6.81475967e-01,  5.34499862e-01,  1.28038284e+00
