# mode: 0
# n_modes: 10
# eofs_start_date: 19790101
# eofs_end_date: 20011201
# rotated: False
# loading_pattern_input_file: nnr1.hgt.500.19480101_20200530.anom.month.19790101_20011230.nc
# anomalies_input_file: nnr1.hgt.500.19480101_20200530.anom.month.19790101_20011230.nc
# base_period_start: 19790101
# base_period_end: 20011230
# calendar: proleptic_gregorian
date,pna_index
1948-01-01, -4.46254598e-01
1948-02-01, -2.50024139e+00
1948-03-01, -3.10248301e+00
1948-04-01, -2.85165329e+00
1948-05-01,  1.17235531e-01
1948-06-01,  3.70177213e-01
1948-07-01,  1.63409012e-01
1948-08-01, -3.64133420e-01
1948-09-01, -2.12516619e-01
1948-10-01,  7.42883723e-01
1948-11-01, -1.31819306e-01
1948-12-01, -1.92572047e+00
1949-01-01, -1.63848949e+00
1949-02-01, -2.51420961e+00
1949-03-01,  3.25122417e-01
1949-04-01,  6.99145275e-02
1949-05-01, -3.88180479e-01
1949-06-01, -7.80392294e-01
1949-07-01, -4.29161194e-01
1949-08-01,  7.83545968e-02
1949-09-01,  6.64679734e-01
1949-10-01, -3.88448743e-01
1949-11-01,  1.54884900e+00
1949-12-01, -1.17321778e+00
1950-01-01, -4.94182720e+00
1950-02-01, -1.01663628e+00
1950-03-01,  5.77610722e-01
1950-04-01, -6.74766358e-01
1950-05-01, -1.12232421e-01
1950-06-01, -6.32319170e-01
1950-07-01,  5.72455190e-02
1950-08-01,  5.90014606e-01
1950-09-01,  7.21598752e-01
1950-10-01,  5.58456462e-01
1950-11-01, -1.17937273e+00
1950-12-01,  5.22504985e-01
1951-01-01, -9.74979690e-01
1951-02-01, -1.58963238e+00
1951-03-01, -1.19874477e+00
1951-04-01,  4.20493035e-01
1951-05-01,  9.52771550e-01
1951-06-01,  5.64999571e-02
1951-07-01, -3.59850886e-01
1951-08-01,  2.20416763e-01
1951-09-01,  3.76955749e-01
1951-10-01,  9.35549757e-02
1951-11-01,  8.25685812e-02
1951-12-01, -2.57403373e+00
1952-01-01, -2.27902167e+00
1952-02-01,  1.43086101e-01
1952-03-01, -1.31247899e+00
1952-04-01,  4.19792012e-01
1952-05-01, -1.01874385e-01
1952-06-01, -2.33056071e-01
1952-07-01, -5.29818004e-01
1952-08-01, -3.49419070e-01
1952-09-01,  1.32754509e-02
1952-10-01,  2.00028548e-01
1952-11-01,  1.16851929e+00
1952-12-01,  2.00370148e+00
1953-01-01,  4.50442500e-01
1953-02-01,  2.46734951e-01
