# n_modes: 20
# low_latitude_boundary:  -2.00000000e+01
# eofs_start_date: 19790101
# eofs_end_date: 20011230
# loading_pattern_input_file: nnr1.hgt.500.19480101_20200530.anom.dayofyear.19790101_20011230.nc
# anomalies_input_file: nnr1.hgt.500.19480101_20200530.anom.month.19790101_20011230.nc
# base_period_start: 19790101
# base_period_end: 20011230
# psa1_mode: 1
# psa2_mode: 2
# psa1_index_normalization:   1.19149719e+03
# psa2_index_normalization:   1.15511682e+03
# calendar: proleptic_gregorian
date,psa_index_1,psa_index_2
1948-01-01,  1.45968505e-01,  4.85214010e-01
1948-02-01,  9.91878694e-02,  7.17476436e-01
1948-03-01, -1.59009446e-01,  1.37794534e-01
1948-04-01, -6.48125557e-01,  5.46883025e-01
1948-05-01, -1.09386938e+00, -9.39140244e-02
1948-06-01,  1.40368425e-01,  1.11219712e+00
1948-07-01, -5.92076226e-01,  9.08057606e-01
1948-08-01,  1.01389233e+00,  1.03423456e-01
1948-09-01,  3.33238129e-01,  6.44677271e-01
1948-10-01, -3.19535467e-01,  7.02736266e-01
1948-11-01, -1.56034593e-01,  8.05992905e-01
1948-12-01,  4.58942952e-02,  1.03402813e+00
1949-01-01,  8.19715014e-01,  9.89152917e-01
1949-02-01,  4.64784766e-01,  1.19730296e+00
1949-03-01,  1.68462510e-02,  1.14536573e-01
1949-04-01, -7.16231230e-01,  6.10714095e-01
1949-05-01,  3.50206637e-01, -9.94311327e-01
1949-06-01, -4.00502655e-01,  2.38790827e-01
1949-07-01, -9.57354862e-01,  5.63656143e-02
1949-08-01, -6.32518423e-01,  8.47026402e-02
1949-09-01, -9.42955949e-01, -9.67448449e-02
1949-10-01,  1.97723408e-01,  4.30108249e-02
1949-11-01,  4.47868296e-01,  6.12209837e-01
1949-12-01,  3.21392753e-01,  6.63681634e-01
1950-01-01,  3.91844629e-01,  1.07739989e+00
1950-02-01, -3.94454902e-01,  3.79322067e-01
1950-03-01,  2.87850456e-01,  3.39935114e-01
1950-04-01, -9.50780506e-01,  2.47959852e-01
1950-05-01,  2.90238491e-01, -5.27518822e-01
1950-06-01, -5.00349896e-01, -3.76484121e-01
1950-07-01, -6.06559296e-01, -2.83270281e-01
1950-08-01, -3.64333844e-01, -2.83376816e-01
1950-09-01, -5.25706724e-02,  2.35050280e-01
1950-10-01,  5.51298722e-01,  2.30713780e-03
1950-11-01,  5.96745940e-01,  5.63824076e-01
1950-12-01,  3.22685487e-01, -8.39848485e-02
1951-01-01, -2.59066904e-01, -3.45845598e-01
1951-02-01, -4.14218760e-01,  4.18791066e-01
1951-03-01, -5.32806136e-02,  4.95694856e-01
1951-04-01,  2.13012597e-01,  1.48127761e+00
1951-05-01, -1.17446748e+00,  9.41095994e-01
1951-06-01, -4.00307112e-01,  1.30669316e+00
1951-07-01,  3.35423581e-01,  7.34179871e-01
1951-08-01, -7.75307269e-01,  1.38334810e+00
1951-09-01, -5.35981434e-01, -1.72443200e-01
1951-10-01,  9.75456079e-02,  2.75349051e-01
1951-11-01, -2.96338748e-01,  8.12770115e-01
1951-12-01,  2.26268419e-01,  7.84480004e-01
1952-01-01,  2.73234510e-02,  9.08024527e-01
1952-02-01,  2.64726969e-01,  7.62141645e-01
1952-03-01, -9.30031682e-01,  6.76778649e-01
1952-04-01, -5.18761507e-01,  4.83652139e-01
1952-05-01, -4.90563017e-01,  1.26696843e+00
1952-06-01, -1.00699440e+00,  2.30818368e-01
1952-07-01, -2.70451630e-01,  5.56591651e-02
1952-08-01,  6.69393799e-03,  3.62694737e-01
1952-09-01, -5.15011863e-01,  9.06922408e-01
1952-10-01, -1.09248090e-01,  3.79757817e-02
1952-11-01,  5.00887119e-01,  1.28909600e+00
1952-12-01, -1.97355783e-01,  7.80750326e-02
1953-01-01, -1.65261172e-01,  5.75461412e-01
1953-02-01, -1.10908223e+00,  8.03680891e-01
