# mode: 0
# n_modes: 20
# low_latitude_boundary:  -2.00000000e+01
# index_normalization:   9.64249207e+02
# eofs_start_date: 19790101
# eofs_end_date: 20011201
# loading_pattern_input_file: nnr1.hgt.500.19480101_20200530.anom.month.19790101_20011230.nc
# anomalies_input_file: nnr1.hgt.500.19480101_20200530.anom.month.19790101_20011230.nc
# base_period_start: 19790101
# base_period_end: 20011230
# calendar: proleptic_gregorian
date,sam_index
1948-01-01, -1.45406389e+00
1948-02-01, -2.08091422e+00
1948-03-01, -2.09041603e+00
1948-04-01, -9.31781948e-01
1948-05-01,  3.34776854e-02
1948-06-01, -5.38166533e-01
1948-07-01, -1.94335772e+00
1948-08-01, -2.83231721e+00
1948-09-01, -8.80300829e-01
1948-10-01, -2.54683188e+00
1948-11-01, -2.74532363e+00
1948-12-01, -2.02921984e+00
1949-01-01, -3.70148218e+00
1949-02-01, -4.16921348e+00
1949-03-01, -1.65132341e+00
1949-04-01, -2.90471269e-01
1949-05-01,  5.51499092e-01
1949-06-01,  3.36394757e-01
1949-07-01, -1.22382532e+00
1949-08-01, -3.02306953e-01
1949-09-01, -7.06732118e-01
1949-10-01, -8.97922957e-01
1949-11-01, -1.03440346e+00
1949-12-01, -2.98904621e+00
1950-01-01, -3.14882983e+00
1950-02-01, -1.77269132e+00
1950-03-01, -2.51346127e+00
1950-04-01, -1.91541356e+00
1950-05-01, -7.13321697e-01
1950-06-01, -1.04999907e+00
1950-07-01, -2.90362006e+00
1950-08-01, -1.75721113e+00
1950-09-01, -3.45259551e-01
1950-10-01, -7.80129495e-01
1950-11-01, -1.46214684e+00
1950-12-01, -1.08491719e+00
1951-01-01, -1.38033700e+00
1951-02-01, -1.43498257e+00
1951-03-01, -7.16432439e-01
1951-04-01, -1.98853338e+00
1951-05-01, -2.11254759e+00
1951-06-01, -1.36759003e+00
1951-07-01, -1.26169321e+00
1951-08-01, -1.16005030e+00
1951-09-01, -2.16593825e+00
1951-10-01, -2.16974652e+00
1951-11-01, -1.77670602e+00
1951-12-01, -2.93556231e+00
1952-01-01, -3.22265291e+00
1952-02-01, -1.35220658e+00
1952-03-01, -1.84645848e+00
1952-04-01, -2.25603299e+00
1952-05-01, -2.03775910e+00
1952-06-01, -1.56458274e+00
1952-07-01, -1.10377462e+00
1952-08-01, -9.70461260e-01
1952-09-01, -8.61999777e-01
1952-10-01, -1.27100344e+00
1952-11-01, -2.00399665e+00
1952-12-01, -2.88747776e+00
1953-01-01, -2.75108325e+00
1953-02-01, -2.32067770e+00
